Source	Author	Title	Description	PublishedAt	URL	coding	coverage
CBC News		Man charged in alleged Iranian murder-for-hire plan targeting Donald Trump: U.S. Justice Department	"The U.S. Justice Department on Friday disclosed an Iranian murder-for-hire plot to kill Donald Trump, charging a man who said he had been tasked by a government official before this week's election with planning the assassination of the Republican president-e…"	2024-11-08T19:13:17Z	https://www.cbc.ca/news/world/iran-trump-kill-charged-1.7378415	Legal Issues	Positive
Newsweek	Maya Mehrara	Zelensky Congratulates Donald Trump on 'Impressive' Victory	"""I appreciate President Trump's commitment to the 'peace through strength' approach in global affairs,"" wrote the Ukrainian president."	2024-11-06T10:21:41Z	https://www.newsweek.com/zelensky-congratulates-donald-trump-impressive-victory-1981146	Cultural Impact	Negative
NPR	Shannon Bond	"Russia is behind fake video of ballots being destroyed, U.S. officials say"	"Federal intelligence officials and the FBI say Russia is behind the video, which has spread widely on social media, including Elon Musk’s X."	2024-10-26T01:00:02Z	https://www.npr.org/2024/10/25/nx-s1-5165593/russia-ballot-video-bucks-county	Legal Issues	Neutral
Wired	WIRED Staff	Will Your Elected Officials in Congress Accept the Results of the Election?	We’ve asked every member of Congress whether they’ll accept the results as called by the Associated Press. Use our tool to see how your representatives answer.	2024-10-31T10:00:00Z	https://www.wired.com/story/congress-accept-election-results/	Cultural Impact	Negative
Slate Magazine	Alexander Sammon	The Most Revealing Exchange of Kamala Harris’ Fox News Interview	Bret Baier’s attacks said a lot more about Trump than Harris.	2024-10-17T18:17:01Z	https://slate.com/news-and-politics/2024/10/kamala-harris-fox-news-interview-bret-baier-election.html	Election	Neutral
Time	Rebecca Schneid	The Presidential Podcast Media Tour	"In the lead up to the election, Harris and Trump have taken to appearing on podcasts to engage with potential voters."	2024-10-26T15:53:54Z	https://time.com/7099104/presidential-podcast-media-tour-donald-trump-kamala-harris/	Election	Negative
Financial Post	Bloomberg News	Green Energy Stocks Sink With Trump Poised to Win US Election	Shares in wind energy firms plunged on Wednesday as a presidential victory for Donald Trump would mean that the US will likely prioritize fossil fuels over renewables.	2024-11-06T10:00:37Z	https://financialpost.com/pmn/business-pmn/green-energy-stocks-sink-with-trump-poised-to-win-us-election	Policies	Neutral
BBC News		Investigating Musk's far-fetched claim about Democrats importing voters	BBC Verify investigates the claim by Elon Musk that Democrats import illegal immigrants to vote.	2024-10-31T22:50:00Z	https://www.bbc.com/news/articles/czd5l0d3794o	Legal Issues	Negative
Fox News	Brooke Singman	Trump campaign blasts top Harris surrogate Mark Cuban for 'insulting' pro-Trump women	"EXCLUSIVE: The Trump campaign is blasting businessman for his “extremely insulting"" comments against women who support former President Trump."	2024-10-31T17:14:28Z	https://www.foxnews.com/politics/trump-campaign-blasts-top-harris-surrogate-mark-cuban-insulting-pro-trump-women	Election	Neutral
Financial Post	Bloomberg News	"Trump Trade Threat Priced into European Stocks, Barclays Says"	"The risk of potential trade tariffs resulting from a Donald Trump US election win has already been priced into shares of major European exporters, according to Barclays strategists."	2024-10-23T11:28:38Z	https://financialpost.com/pmn/business-pmn/trump-trade-threat-priced-into-european-stocks-barclays-says	Economy	Negative
Fox News	Scott Thompson	"Donald Trump’s granddaughter, budding golf star Kai Trump, reacts to election win: ‘Future gonna be fantastic'"	"Kai Trump, the granddaughter of President-elect Trump, congratulated him on his victory in this year's presidential race with a social media post."	2024-11-07T23:51:25Z	https://www.foxnews.com/sports/donald-trumps-granddaughter-budding-golf-star-kai-trump-reacts-election-win-future-gonna-fantastic	Cultural Impact	Positive
Cracked.com	Matt Solomon	Chevy Chase Got Donald Trump All Hot and Buttered On SNL’s 15th Anniversary Show	Trump was an ‘SNL’ punchline going back to the ‘80s	2024-10-18T17:30:00Z	https://www.cracked.com/article_44027_chevy-chase-got-donald-trump-all-hot-and-buttered-on-snls-15th-anniversary-show.html	Cultural Impact	Negative
Financial Post	Bloomberg News	"U.S. banks soar on hopes of less tax, regulation under Trump"	Shares of banks in the United States surged in premarket trading as Donald Trump promised to reduce regulation. Read more.	2024-11-06T14:24:30Z	https://financialpost.com/fp-finance/banking/us-banks-soar-less-tax-regulation-trump	Policies	Neutral
Gizmodo.com	Matthew Gault	The Worst People in the World Are Making a Ton of Money After Trump’s Victory	"Private prisons, crypto, banks, and the stock-market in general are all soaring at the news of Trump’s return to the White House."	2024-11-06T15:15:36Z	https://gizmodo.com/the-worst-people-in-the-world-are-making-a-ton-of-money-after-trumps-victory-2000521095	Economy	Neutral
Fortune	Oskar Serrander	This could be America’s first ‘podcast election’—just look across the pond	High-profile podcast appearances by Donald Trump and Kamala Harris have brought political discussions into the podcasting spotlight.	2024-10-17T14:17:13Z	https://fortune.com/2024/10/17/america-first-podcast-election-culture-media-politics/	Election	Neutral
Buzzfeed	Alexa Lisitza	"Unfortunately, Donald Trump Will Be Our Next President. Here's How People Are Reacting To Kamala's Loss"	"""So I'm supposed to go to work and do my job tomorrow as if half the country didn't just vote to give me less rights than men?????"" —@shann_anigansView Entire Post ›"	2024-11-06T16:04:05Z	https://www.buzzfeed.com/alexalisitza/reactions-kamala-harris-loss	Cultural Impact	Negative
Fortune	Dave Smith	Who’s winning the presidential election? Live 2024 results	The showdown between Kamala Harris and Donald Trump is reaching its climax.	2024-11-05T21:31:00Z	https://fortune.com/2024/11/05/us-president-election-result-trump-harris/	Election	Neutral
ABC News	"Fritz Farrow, Gabriella Abdul-Hakim, Will McDuffie, Tal Axelrod"	Harris paints Trump as a national threat in testy Fox News interview	VP Kamala Harris blasted Donald Trump in a Fox News interview with Bret Baier.	2024-10-16T22:47:34Z	https://abcnews.go.com/Politics/harris-paints-trump-national-threat-testy-fox-news/story?id=114869202	Election	Negative
CBS News		"Biden, Trump to meet in Oval Office on Wednesday"	President-elect Donald Trump will meet with President Joe Biden on Wednesday after Trump defeated Kamala Harris in the race for U.S. president.	2024-11-09T17:26:06Z	https://www.cbsnews.com/news/biden-trump-meet-oval-office/	Election	Neutral
Rolling Stone	Ryan Bort and Asawin Suebsaeng	Trump’s Closing Pitch to Voters: I Will Let You Die If You Don’t Bow to My Demands	"If the former president's first term is any indication, he's not bluffing when he threatens drastic action against Americans who oppose him"	2024-10-19T14:00:00Z	https://www.rollingstone.com/politics/politics-features/trump-threatens-let-americans-die-1235137748/	Election	Negative
NBC News	Alexander Smith and Jean-Nicholas Fievet	Trump accuses Britain's ruling Labour Party of election interference	Former President Donald Trump accused Keir Starmer's British Labour Party of illegally assisting Vice President Kamala Harris ahead of the election Nov. 5.	2024-10-23T12:09:29Z	https://www.nbcnews.com/news/world/trump-accuses-uk-labour-party-starmer-election-interference-harris-rcna176734	Election	Negative
NBC News	Matt Dixon	Trump's win maintains his hold on the GOP. It also kicks off plans for a succession.	Donald Trump’s return to the presidency has done something no political opponent could: put an end date on his time atop the Republican Party.	2024-11-07T21:39:34Z	https://www.nbcnews.com/politics/donald-trump/trumps-win-maintains-hold-gop-also-kicks-plans-succession-rcna179045	Election	Negative
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Milwaukee, Wisconsin"	"Former President Donald Trump speaks to supporters at a rally in Milwaukee, Wisconsin, on Friday, November 1.
The post Watch Live: Donald Trump Holds Rally in Milwaukee, Wisconsin appeared first on Breitbart."	2024-11-02T02:13:57Z	https://www.breitbart.com/2024-election/2024/11/01/watch-live-donald-trump-holds-rally-in-milwaukee-wisconsin/	Election	Neutral
New York Magazine	Ed Kilgore	Polling Errors Won’t Necessarily Help Trump This Time	Polling errors could ultimately benefit either Donald Trump or Kamala Harris in two weeks. We just don’t know which.	2024-10-24T10:00:32Z	http://nymag.com/intelligencer/article/harris-trump-polling-error-election.html	Polling	Neutral
NPR	Danielle Kurtzleben	"Off-color jokes, vitriol take over Trump Madison Square Garden rally"	"Republican president nominee Donald Trump put on a splashy rally at New York's hallmark Madison Square Garden, but repeated insults and at times racist and misogynistic remarks from guest speakers threatened to grab the most attention."	2024-10-28T02:18:56Z	https://www.npr.org/2024/10/27/g-s1-30232/trump-madison-square-garden-insults	Cultural Impact	Neutral
Fortune	"Zeke Miller, Michelle L. Price, Will Weissert, Jill Colvin, The Associated Press"	Donald Trump elected U.S. president with a win in Wisconsin	"With a win in Wisconsin, Donald Trump cleared the 270 electoral votes needed to clinch the presidency."	2024-11-06T11:05:34Z	https://fortune.com/2024/11/06/us-election-result-donald-trump-wins/	Polling	Neutral
Android Central	jerry.hildenbrand@futurenet.com (Jerry Hildenbrand)	How will a second Trump presidency affect the tech industry?	"With a second Trump presidency, we should expect some things to change while others stay the same."	2024-11-09T16:00:00Z	https://www.androidcentral.com/apps-software/how-will-a-second-trump-presidency-affect-the-tech-industry	Cultural Impact	Neutral
New York Magazine	Sarah Jones	"At McDonald’s, Trump Cosplays as a Worker"	Sarah Jones writes that Donald Trump’s McDonald’s stunt can’t make up for his extreme anti-labor record.	2024-10-22T17:38:48Z	http://nymag.com/intelligencer/article/at-mcdonalds-donald-trump-cosplays-as-a-worker.html	Cultural Impact	Neutral
The Verge	Justine Calma	Donald Trump’s EPA pick wants to ‘make America the AI capital of the world’	"Donald Trump promised a deregulatory spree, and his pick to lead the Environmental Protection Agency sees AI as a priority."	2024-11-12T16:56:20Z	https://www.theverge.com/2024/11/12/24294483/donald-trump-ai-data-center-epa-lee-zeldin	Policies	Neutral
Gizmodo.com	Matt Novak	Elon Musk Built an Army of Pro-Trump Extremists to Spread Voter Fraud Conspiracy Theories	Musk has spent at least $120 million to get Donald Trump elected.	2024-11-01T13:30:01Z	https://gizmodo.com/elon-musk-built-an-army-of-pro-trump-extremists-to-spread-voter-fraud-conspiracy-theories-2000519218	Election	Neutral
Breitbart News	"Hannah Knudsen, Hannah Knudsen"	Donald Trump Projected to Win Battleground Wisconsin	"Former President Donald Trump is the projected winner in battleground Wisconsin, as Fox News formally made the call shortly before 2 a.m. ET.
The post Donald Trump Projected to Win Battleground Wisconsin appeared first on Breitbart."	2024-11-06T07:33:50Z	https://www.breitbart.com/politics/2024/11/05/donald-trump-projected-win-battleground-wisconsin/	Polling	Negative
Buzzfeed	Ashley Holt	"""It Raises Real Questions About Whether You Are Fit For The Toughest Job In The World"": Kamala Harris Trolled Donald Trump After He Apparently Canceled These 6 Interviews"	"""It raises real questions about whether you are fit for the toughest job in the world.""View Entire Post ›"	2024-10-23T16:49:42Z	https://www.buzzfeed.com/ashleyholt1/6-appearances-donald-trump-canceled	Election	Neutral
Daily Beast	Katie Francis	Lindsey Graham Squirms at Montage of Trump Labeling Harris a ‘Fascist’	Lindsey Graham seemed to have his back against the wall after being shown a montage of Donald Trump labeling Kamala Harris a “fascist.” The South Carolina...	2024-10-27T22:44:24Z	https://www.thedailybeast.com/sen-lindsey-graham-squirms-when-played-montage-of-trump-labeling-kamala-harris-a-fascist/	Cultural Impact	Negative
Buzzfeed	Alexa Lisitza	"People Are REELING Over This Guy Saying He Voted For Donald Trump Even Though He Considers ""Him Like Hitler"""	We're past the bad place.View Entire Post ›	2024-11-14T18:01:24Z	https://www.buzzfeed.com/alexalisitza/trump-supporter-viral-hitler-quote	Cultural Impact	Negative
Bloomberg	Bloomberg	"Gold heads for weekly drop as traders weigh Trump, fed outlook"	"Thursday’s gain partially helped to retrace Wednesday’s 3% rout, when Trump’s win triggered a powerful rally in the dollar, reducing the appeal of commodities priced in the currency"	2024-11-10T09:04:41Z	https://www.bloomberg.com/news/articles/2024-11-08/gold-steady-as-traders-weigh-rate-outlook-trump-s-economy-plans	Economy	Negative
